cond,seed,grok_epoch,final_train_acc,final_test_acc,top10_power,eff_freq,seconds
scale0.1,0,530,1.0,1.0,0.4994,21.31,107.1
scale0.1,1,530,1.0,1.0,0.439,23.61,125.1
scale0.1,2,560,1.0,1.0,0.5255,20.58,128.7
scale0.1,3,350,1.0,1.0,0.5723,17.89,142.4
scale0.1,4,550,1.0,1.0,0.5192,19.76,234.9
scale0.5,0,480,1.0,1.0,0.6905,15.32,228.2
scale0.5,1,420,1.0,1.0,0.7702,13.33,228.3
scale0.5,2,740,0.986,0.9771,0.5773,18.34,199.5
scale0.5,3,380,1.0,1.0,0.6671,15.78,200.6
scale0.5,4,620,1.0,1.0,0.5969,17.35,271.7
diffonly,0,520,1.0,1.0,0.565,20.2,258.2
diffonly,1,530,1.0,1.0,0.4485,24.63,192.6
diffonly,2,520,1.0,1.0,0.5703,19.34,273.3
diffonly,3,390,1.0,1.0,0.6,18.58,294.9
diffonly,4,500,1.0,1.0,0.5277,21.21,296.9
