pe,seed,grok_epoch,final_train_acc,final_test_acc,top10_power,eff_freq,conj_pair_ratio,seconds
learned,0,520,1.0,1.0,0.5255,22.76,1.0,189.9
none,0,540,1.0,1.0,0.4672,25.24,1.0,187.7
none,1,500,1.0,1.0,0.4491,25.54,1.0,94.2
none,2,550,1.0,1.0,0.543,20.1,1.0,127.5
none,3,360,1.0,1.0,0.607,18.28,1.0,152.7
none,4,520,1.0,1.0,0.502,23.2,1.0,112.7
learned,1,500,1.0,1.0,0.5208,21.43,1.0,172.8
learned,2,420,1.0,1.0,0.5899,18.2,1.0,114.2
learned,3,490,1.0,1.0,0.5249,21.03,1.0,134.5
learned,4,410,1.0,1.0,0.5126,22.12,1.0,193.6
sinusoidal,0,450,0.0421,0.0057,0.7978,13.06,1.0,184.8
sinusoidal,1,500,1.0,1.0,0.7629,13.91,1.0,209.2
sinusoidal,2,800,1.0,1.0,0.7587,13.97,1.0,216.1
sinusoidal,3,580,0.0878,0.0745,0.9031,11.21,1.0,211.7
sinusoidal,4,850,1.0,1.0,0.7982,13.15,1.0,231.9
rope,0,540,1.0,1.0,0.499,23.97,1.0,228.7
rope,1,510,1.0,1.0,0.4616,24.31,1.0,227.4
rope,2,540,1.0,1.0,0.5281,21.86,1.0,174.6
rope,3,370,1.0,1.0,0.5453,19.71,1.0,122.9
rope,4,510,1.0,1.0,0.4837,23.84,1.0,129.0
shuffled,0,520,1.0,1.0,0.5563,20.64,1.0,149.1
shuffled,1,500,1.0,1.0,0.5538,20.61,1.0,184.4
shuffled,2,440,1.0,1.0,0.5804,19.45,1.0,93.4
shuffled,3,500,1.0,1.0,0.5659,19.84,1.0,143.9
shuffled,4,420,1.0,1.0,0.5359,21.31,1.0,182.0
frozen,0,460,1.0,1.0,0.7461,14.48,1.0,161.9
frozen,1,760,1.0,1.0,0.866,12.2,1.0,178.7
frozen,2,550,0.0182,0.0143,0.8874,11.84,1.0,176.7
frozen,3,610,1.0,1.0,0.8902,10.18,1.0,166.1
frozen,4,550,1.0,1.0,0.8021,12.99,1.0,191.3
frozen_lo,0,540,1.0,1.0,0.5241,19.53,1.0,142.5
frozen_lo,1,500,1.0,1.0,0.5207,21.14,1.0,177.3
frozen_lo,2,530,1.0,1.0,0.5454,19.06,1.0,190.4
frozen_lo,3,350,1.0,1.0,0.565,18.0,1.0,190.0
frozen_lo,4,510,1.0,1.0,0.5117,19.57,1.0,187.6
